metabolites      concentration
C00002              0.00000000
C00267             16.11809565
C00008              0.00000000
C00668             16.11809565
C00085             10.38890482
C00013             16.11809565
C00009              9.85197449
C00354             13.71806195
C00111              0.00000000
C00118              0.00000000
C00003              2.45125452
C00236              6.87184571
C00004              0.24512545
C00080              0.00000000
C00197              9.71323991
C00631              3.24721146
C00074              0.00000000
C00001              0.00000000
C00020             16.11809565
C00022             16.11809565
C00186              0.00000000
C00139             16.11809565
C00010              7.18647695
C00138              0.00000000
C00024              0.00000000
C00011              0.00000000
C00033              0.00000000
